"Statistic:   Number of Applications"
"Variables:   Provider Name , Age Band , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_006_03.pdf"
 
Cycle Year,Provider Name , Age Band,Number of Applications,
2006 ,"'C95 Cumbria Institute of the Arts' ","'21 and over' ",270
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'17 and under' ",5
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'18' ",360
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'19' ",190
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'20' ",70
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'21 and over' ",125
2006 ,"'D22 Dearne Valley College' ","'18' ",55
2006 ,"'D22 Dearne Valley College' ","'19' ",20
2006 ,"'D22 Dearne Valley College' ","'20' ",5
2006 ,"'D22 Dearne Valley College' ","'21 and over' ",5
2006 ,"'D26 De Montfort University' ","'17 and under' ",140
2006 ,"'D26 De Montfort University' ","'18' ",13130
2006 ,"'D26 De Montfort University' ","'19' ",5245
2006 ,"'D26 De Montfort University' ","'20' ",1715
2006 ,"'D26 De Montfort University' ","'21 and over' ",3310
2006 ,"'D39 University of Derby' ","'17 and under' ",60
2006 ,"'D39 University of Derby' ","'18' ",7195
2006 ,"'D39 University of Derby' ","'19' ",2420
2006 ,"'D39 University of Derby' ","'20' ",990
2006 ,"'D39 University of Derby' ","'21 and over' ",2210
2006 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'18' ",60
2006 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'19' ",40
2006 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'20' ",30
2006 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'21 and over' ",40
2006 ,"'D52 Doncaster College' ","'18' ",215
2006 ,"'D52 Doncaster College' ","'19' ",100
2006 ,"'D52 Doncaster College' ","'20' ",110
2006 ,"'D52 Doncaster College' ","'21 and over' ",240
2006 ,"'D55 Duchy College' ","'17 and under' ",5
2006 ,"'D55 Duchy College' ","'18' ",155
2006 ,"'D55 Duchy College' ","'19' ",20
2006 ,"'D55 Duchy College' ","'20' ",20
2006 ,"'D55 Duchy College' ","'21 and over' ",65
2006 ,"'D58 Dudley College of Technology' ","'18' ",25
2006 ,"'D58 Dudley College of Technology' ","'19' ",15
2006 ,"'D58 Dudley College of Technology' ","'20' ",10
2006 ,"'D58 Dudley College of Technology' ","'21 and over' ",20
2006 ,"'D65 University of Dundee' ","'17 and under' ",380
2006 ,"'D65 University of Dundee' ","'18' ",8170
2006 ,"'D65 University of Dundee' ","'19' ",1860
2006 ,"'D65 University of Dundee' ","'20' ",800
2006 ,"'D65 University of Dundee' ","'21 and over' ",2525
2006 ,"'D86 Durham University' ","'17 and under' ",550
2006 ,"'D86 Durham University' ","'18' ",22045
2006 ,"'D86 Durham University' ","'19' ",3375
2006 ,"'D86 Durham University' ","'20' ",720
2006 ,"'D86 Durham University' ","'21 and over' ",1220
2006 ,"'E10 Ealing, Hammersmith and West London College' ","'18' ",30
2006 ,"'E10 Ealing, Hammersmith and West London College' ","'19' ",30
2006 ,"'E10 Ealing, Hammersmith and West London College' ","'20' ",25
2006 ,"'E10 Ealing, Hammersmith and West London College' ","'21 and over' ",45
2006 ,"'E14 University of East Anglia (UEA)' ","'17 and under' ",170
2006 ,"'E14 University of East Anglia (UEA)' ","'18' ",8585
2006 ,"'E14 University of East Anglia (UEA)' ","'19' ",1810
2006 ,"'E14 University of East Anglia (UEA)' ","'20' ",705
2006 ,"'E14 University of East Anglia (UEA)' ","'21 and over' ",2425
2006 ,"'E28 University of East London (UEL)' ","'17 and under' ",145
2006 ,"'E28 University of East London (UEL)' ","'18' ",4790
2006 ,"'E28 University of East London (UEL)' ","'19' ",3170
2006 ,"'E28 University of East London (UEL)' ","'20' ",1690
2006 ,"'E28 University of East London (UEL)' ","'21 and over' ",5420
2006 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'18' ",15
2006 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'19' ",20
2006 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'20' ",5
2006 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'21 and over' ",15
2006 ,"'E42 Edge Hill University' ","'17 and under' ",10
2006 ,"'E42 Edge Hill University' ","'18' ",5845
2006 ,"'E42 Edge Hill University' ","'19' ",1220
2006 ,"'E42 Edge Hill University' ","'20' ",445
2006 ,"'E42 Edge Hill University' ","'21 and over' ",1195
2006 ,"'E56 The University of Edinburgh' ","'17 and under' ",1440
2006 ,"'E56 The University of Edinburgh' ","'18' ",30440
2006 ,"'E56 The University of Edinburgh' ","'19' ",6570
2006 ,"'E56 The University of Edinburgh' ","'20' ",2040
2006 ,"'E56 The University of Edinburgh' ","'21 and over' ",4625
2006 ,"'E58 Edinburgh College of Art' ","'17 and under' ",45
2006 ,"'E58 Edinburgh College of Art' ","'18' ",1265
2006 ,"'E58 Edinburgh College of Art' ","'19' ",530
2006 ,"'E58 Edinburgh College of Art' ","'20' ",235
2006 ,"'E58 Edinburgh College of Art' ","'21 and over' ",620
2006 ,"'E70 The University of Essex' ","'17 and under' ",290
2006 ,"'E70 The University of Essex' ","'18' ",7110
2006 ,"'E70 The University of Essex' ","'19' ",2305
2006 ,"'E70 The University of Essex' ","'20' ",1000
2006 ,"'E70 The University of Essex' ","'21 and over' ",1630
2006 ,"'E77 European Business School, London' ","'17 and under' ",45
2006 ,"'E77 European Business School, London' ","'18' ",260
2006 ,"'E77 European Business School, London' ","'19' ",130
2006 ,"'E77 European Business School, London' ","'20' ",65
2006 ,"'E77 European Business School, London' ","'21 and over' ",115
2006 ,"'E80 European School of Osteopathy' ","'18' ",45
2006 ,"'E80 European School of Osteopathy' ","'19' ",25
2006 ,"'E80 European School of Osteopathy' ","'20' ",10
2006 ,"'E80 European School of Osteopathy' ","'21 and over' ",75
2006 ,"'E81 Exeter College' ","'18' ",115
2006 ,"'E81 Exeter College' ","'19' ",50
2006 ,"'E81 Exeter College' ","'20' ",25
2006 ,"'E81 Exeter College' ","'21 and over' ",50
2006 ,"'E84 University of Exeter' ","'17 and under' ",275
2006 ,"'E84 University of Exeter' ","'18' ",14940
2006 ,"'E84 University of Exeter' ","'19' ",2365
2006 ,"'E84 University of Exeter' ","'20' ",610
