"Statistic:   Number of Applications"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_003_03.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Applications,
2006 ,"'G64 Great Yarmouth College' ","'UK' ",70
2006 ,"'G64 Great Yarmouth College' ","'Not EU' ",5
2006 ,"'G70 University of Greenwich' ","'UK' ",16490
2006 ,"'G70 University of Greenwich' ","'EU (excluding UK)' ",1160
2006 ,"'G70 University of Greenwich' ","'Not EU' ",1845
2006 ,"'G74 GSM London (formerly Greenwich School of Management)' ","'UK' ",240
2006 ,"'G74 GSM London (formerly Greenwich School of Management)' ","'EU (excluding UK)' ",25
2006 ,"'G74 GSM London (formerly Greenwich School of Management)' ","'Not EU' ",70
2006 ,"'G80 University Centre Grimsby' ","'UK' ",285
2006 ,"'G80 University Centre Grimsby' ","'Not EU' ",5
2006 ,"'G90 Guildford College' ","'UK' ",340
2006 ,"'G90 Guildford College' ","'EU (excluding UK)' ",10
2006 ,"'G90 Guildford College' ","'Not EU' ",25
2006 ,"'H06 Halton College' ","'UK' ",40
2006 ,"'H06 Halton College' ","'Not EU' ",5
2006 ,"'H12 Harper Adams University' ","'UK' ",1535
2006 ,"'H12 Harper Adams University' ","'EU (excluding UK)' ",100
2006 ,"'H12 Harper Adams University' ","'Not EU' ",40
2006 ,"'H14 Havering College of Further and Higher Education' ","'UK' ",255
2006 ,"'H14 Havering College of Further and Higher Education' ","'EU (excluding UK)' ",5
2006 ,"'H14 Havering College of Further and Higher Education' ","'Not EU' ",15
2006 ,"'H18 Hereford College of Arts' ","'UK' ",370
2006 ,"'H18 Hereford College of Arts' ","'EU (excluding UK)' ",25
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'UK' ",6525
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'EU (excluding UK)' ",1010
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'Not EU' ",675
2006 ,"'H36 University of Hertfordshire' ","'UK' ",19580
2006 ,"'H36 University of Hertfordshire' ","'EU (excluding UK)' ",835
2006 ,"'H36 University of Hertfordshire' ","'Not EU' ",1255
2006 ,"'H37 Hertford Regional College' ","'UK' ",60
2006 ,"'H39 Highbury College' ","'UK' ",60
2006 ,"'H39 Highbury College' ","'Not EU' ",10
2006 ,"'H48 Heythrop College (University of London)' ","'UK' ",460
2006 ,"'H48 Heythrop College (University of London)' ","'EU (excluding UK)' ",10
2006 ,"'H48 Heythrop College (University of London)' ","'Not EU' ",15
2006 ,"'H49 University of the Highlands and Islands' ","'UK' ",645
2006 ,"'H49 University of the Highlands and Islands' ","'EU (excluding UK)' ",10
2006 ,"'H49 University of the Highlands and Islands' ","'Not EU' ",25
2006 ,"'H50 Holborn College' ","'UK' ",70
2006 ,"'H50 Holborn College' ","'EU (excluding UK)' ",5
2006 ,"'H50 Holborn College' ","'Not EU' ",90
2006 ,"'H54 Hopwood Hall College' ","'UK' ",75
2006 ,"'H54 Hopwood Hall College' ","'Not EU' ",5
2006 ,"'H58 Kirklees College (Formerly Huddersfield Technical College)' ","'UK' ",15
2006 ,"'H60 The University of Huddersfield' ","'UK' ",17960
2006 ,"'H60 The University of Huddersfield' ","'EU (excluding UK)' ",405
2006 ,"'H60 The University of Huddersfield' ","'Not EU' ",760
