"Statistic:   Number of Applicants"
"Variables:   Achieved A-Level point score , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_044_06.pdf"
 
Cycle Year,Achieved A-Level point score , Ethnic Group (Summary Level),Number of Applicants,
2013 ,"'7 points' ","'Other' ",100
2013 ,"'7 points' ","'Unknown' ",35
2013 ,"'8 points' ","'Asian' ",1335
2013 ,"'8 points' ","'Black' ",680
2013 ,"'8 points' ","'Mixed' ",420
2013 ,"'8 points' ","'White' ",9055
2013 ,"'8 points' ","'Other' ",140
2013 ,"'8 points' ","'Unknown' ",40
2013 ,"'9 points' ","'Asian' ",1595
2013 ,"'9 points' ","'Black' ",815
2013 ,"'9 points' ","'Mixed' ",495
2013 ,"'9 points' ","'White' ",12030
2013 ,"'9 points' ","'Other' ",160
2013 ,"'9 points' ","'Unknown' ",45
2013 ,"'10 points' ","'Asian' ",1755
2013 ,"'10 points' ","'Black' ",860
2013 ,"'10 points' ","'Mixed' ",605
2013 ,"'10 points' ","'White' ",14030
2013 ,"'10 points' ","'Other' ",205
2013 ,"'10 points' ","'Unknown' ",70
2013 ,"'11 points' ","'Asian' ",1760
2013 ,"'11 points' ","'Black' ",780
2013 ,"'11 points' ","'Mixed' ",650
2013 ,"'11 points' ","'White' ",14940
2013 ,"'11 points' ","'Other' ",180
2013 ,"'11 points' ","'Unknown' ",55
2013 ,"'12 points' ","'Asian' ",1850
2013 ,"'12 points' ","'Black' ",700
2013 ,"'12 points' ","'Mixed' ",705
2013 ,"'12 points' ","'White' ",15720
2013 ,"'12 points' ","'Other' ",190
2013 ,"'12 points' ","'Unknown' ",75
2013 ,"'13 points' ","'Asian' ",1775
2013 ,"'13 points' ","'Black' ",560
2013 ,"'13 points' ","'Mixed' ",655
2013 ,"'13 points' ","'White' ",14640
2013 ,"'13 points' ","'Other' ",190
2013 ,"'13 points' ","'Unknown' ",90
2013 ,"'14 points' ","'Asian' ",1530
2013 ,"'14 points' ","'Black' ",370
2013 ,"'14 points' ","'Mixed' ",600
2013 ,"'14 points' ","'White' ",13290
2013 ,"'14 points' ","'Other' ",165
2013 ,"'14 points' ","'Unknown' ",75
2013 ,"'15 points' ","'Asian' ",1555
2013 ,"'15 points' ","'Black' ",320
2013 ,"'15 points' ","'Mixed' ",580
2013 ,"'15 points' ","'White' ",12825
2013 ,"'15 points' ","'Other' ",140
2013 ,"'15 points' ","'Unknown' ",100
2013 ,"'16 points' ","'Asian' ",1215
2013 ,"'16 points' ","'Black' ",185
2013 ,"'16 points' ","'Mixed' ",520
2013 ,"'16 points' ","'White' ",9310
2013 ,"'16 points' ","'Other' ",110
2013 ,"'16 points' ","'Unknown' ",80
2013 ,"'17 points' ","'Asian' ",705
2013 ,"'17 points' ","'Black' ",75
2013 ,"'17 points' ","'Mixed' ",280
2013 ,"'17 points' ","'White' ",5500
2013 ,"'17 points' ","'Other' ",60
2013 ,"'17 points' ","'Unknown' ",50
2013 ,"'18 points' ","'Asian' ",710
2013 ,"'18 points' ","'Black' ",45
2013 ,"'18 points' ","'Mixed' ",210
2013 ,"'18 points' ","'White' ",4220
2013 ,"'18 points' ","'Other' ",50
2013 ,"'18 points' ","'Unknown' ",55
2014 ,"'3 points' ","'Asian' ",50
2014 ,"'3 points' ","'Black' ",20
2014 ,"'3 points' ","'Mixed' ",10
2014 ,"'3 points' ","'White' ",195
2014 ,"'4 points' ","'Asian' ",190
2014 ,"'4 points' ","'Black' ",90
2014 ,"'4 points' ","'Mixed' ",40
2014 ,"'4 points' ","'White' ",755
2014 ,"'4 points' ","'Other' ",10
2014 ,"'4 points' ","'Unknown' ",5
2014 ,"'5 points' ","'Asian' ",410
2014 ,"'5 points' ","'Black' ",190
2014 ,"'5 points' ","'Mixed' ",100
2014 ,"'5 points' ","'White' ",1970
2014 ,"'5 points' ","'Other' ",45
2014 ,"'5 points' ","'Unknown' ",15
2014 ,"'6 points' ","'Asian' ",805
2014 ,"'6 points' ","'Black' ",385
2014 ,"'6 points' ","'Mixed' ",200
2014 ,"'6 points' ","'White' ",3990
2014 ,"'6 points' ","'Other' ",70
2014 ,"'6 points' ","'Unknown' ",25
2014 ,"'7 points' ","'Asian' ",1080
2014 ,"'7 points' ","'Black' ",535
2014 ,"'7 points' ","'Mixed' ",290
2014 ,"'7 points' ","'White' ",6460
2014 ,"'7 points' ","'Other' ",115
2014 ,"'7 points' ","'Unknown' ",30
2014 ,"'8 points' ","'Asian' ",1450
2014 ,"'8 points' ","'Black' ",750
2014 ,"'8 points' ","'Mixed' ",450
2014 ,"'8 points' ","'White' ",9215
2014 ,"'8 points' ","'Other' ",140
2014 ,"'8 points' ","'Unknown' ",35
2014 ,"'9 points' ","'Asian' ",1650
2014 ,"'9 points' ","'Black' ",830
2014 ,"'9 points' ","'Mixed' ",560
2014 ,"'9 points' ","'White' ",11770
2014 ,"'9 points' ","'Other' ",180
2014 ,"'9 points' ","'Unknown' ",50
2014 ,"'10 points' ","'Asian' ",1895
2014 ,"'10 points' ","'Black' ",855
2014 ,"'10 points' ","'Mixed' ",635
2014 ,"'10 points' ","'White' ",13710
2014 ,"'10 points' ","'Other' ",195
2014 ,"'10 points' ","'Unknown' ",65
2014 ,"'11 points' ","'Asian' ",1810
2014 ,"'11 points' ","'Black' ",805
2014 ,"'11 points' ","'Mixed' ",640
2014 ,"'11 points' ","'White' ",14485
2014 ,"'11 points' ","'Other' ",235
2014 ,"'11 points' ","'Unknown' ",65
2014 ,"'12 points' ","'Asian' ",1930
2014 ,"'12 points' ","'Black' ",645
2014 ,"'12 points' ","'Mixed' ",670
2014 ,"'12 points' ","'White' ",15095
2014 ,"'12 points' ","'Other' ",230
2014 ,"'12 points' ","'Unknown' ",70
2014 ,"'13 points' ","'Asian' ",1700
2014 ,"'13 points' ","'Black' ",540
2014 ,"'13 points' ","'Mixed' ",645
2014 ,"'13 points' ","'White' ",14015
2014 ,"'13 points' ","'Other' ",195
2014 ,"'13 points' ","'Unknown' ",80
2014 ,"'14 points' ","'Asian' ",1555
2014 ,"'14 points' ","'Black' ",445
2014 ,"'14 points' ","'Mixed' ",605
2014 ,"'14 points' ","'White' ",12570
2014 ,"'14 points' ","'Other' ",145
2014 ,"'14 points' ","'Unknown' ",75
2014 ,"'15 points' ","'Asian' ",1480
2014 ,"'15 points' ","'Black' ",310
2014 ,"'15 points' ","'Mixed' ",610
2014 ,"'15 points' ","'White' ",11600
2014 ,"'15 points' ","'Other' ",150
2014 ,"'15 points' ","'Unknown' ",95
2014 ,"'16 points' ","'Asian' ",1115
2014 ,"'16 points' ","'Black' ",185
2014 ,"'16 points' ","'Mixed' ",455
2014 ,"'16 points' ","'White' ",8930
2014 ,"'16 points' ","'Other' ",130
2014 ,"'16 points' ","'Unknown' ",75
2014 ,"'17 points' ","'Asian' ",680
2014 ,"'17 points' ","'Black' ",90
2014 ,"'17 points' ","'Mixed' ",320
2014 ,"'17 points' ","'White' ",5745
2014 ,"'17 points' ","'Other' ",75
2014 ,"'17 points' ","'Unknown' ",50
2014 ,"'18 points' ","'Asian' ",740
2014 ,"'18 points' ","'Black' ",50
2014 ,"'18 points' ","'Mixed' ",290
2014 ,"'18 points' ","'White' ",4385
2014 ,"'18 points' ","'Other' ",70
2014 ,"'18 points' ","'Unknown' ",45
2015 ,"'3 points' ","'Asian' ",45
2015 ,"'3 points' ","'Black' ",25
2015 ,"'3 points' ","'Mixed' ",10
2015 ,"'3 points' ","'White' ",165
2015 ,"'3 points' ","'Other' ",5
2015 ,"'4 points' ","'Asian' ",175
2015 ,"'4 points' ","'Black' ",100
2015 ,"'4 points' ","'Mixed' ",40
2015 ,"'4 points' ","'White' ",695
2015 ,"'4 points' ","'Other' ",10
2015 ,"'4 points' ","'Unknown' ",5
2015 ,"'5 points' ","'Asian' ",415
2015 ,"'5 points' ","'Black' ",240
2015 ,"'5 points' ","'Mixed' ",95
2015 ,"'5 points' ","'White' ",1835
2015 ,"'5 points' ","'Other' ",35
2015 ,"'5 points' ","'Unknown' ",20
2015 ,"'6 points' ","'Asian' ",745
2015 ,"'6 points' ","'Black' ",430
2015 ,"'6 points' ","'Mixed' ",215
2015 ,"'6 points' ","'White' ",3805
2015 ,"'6 points' ","'Other' ",80
2015 ,"'6 points' ","'Unknown' ",25
2015 ,"'7 points' ","'Asian' ",1155
