"Statistic:   Number of Acceptances"
"Variables:   Achieved A-Level point score , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_044_05.pdf"
 
Cycle Year,Achieved A-Level point score , Ethnic Group (Summary Level),Number of Acceptances,
2013 ,"'13 points' ","'Asian' ",1605
2013 ,"'13 points' ","'Black' ",520
2013 ,"'13 points' ","'Mixed' ",600
2013 ,"'13 points' ","'White' ",13570
2013 ,"'13 points' ","'Other' ",175
2013 ,"'13 points' ","'Unknown' ",75
2013 ,"'14 points' ","'Asian' ",1370
2013 ,"'14 points' ","'Black' ",340
2013 ,"'14 points' ","'Mixed' ",540
2013 ,"'14 points' ","'White' ",12310
2013 ,"'14 points' ","'Other' ",155
2013 ,"'14 points' ","'Unknown' ",65
2013 ,"'15 points' ","'Asian' ",1320
2013 ,"'15 points' ","'Black' ",275
2013 ,"'15 points' ","'Mixed' ",525
2013 ,"'15 points' ","'White' ",11780
2013 ,"'15 points' ","'Other' ",120
2013 ,"'15 points' ","'Unknown' ",90
2013 ,"'16 points' ","'Asian' ",1060
2013 ,"'16 points' ","'Black' ",155
2013 ,"'16 points' ","'Mixed' ",470
2013 ,"'16 points' ","'White' ",8515
2013 ,"'16 points' ","'Other' ",100
2013 ,"'16 points' ","'Unknown' ",70
2013 ,"'17 points' ","'Asian' ",635
2013 ,"'17 points' ","'Black' ",65
2013 ,"'17 points' ","'Mixed' ",245
2013 ,"'17 points' ","'White' ",5020
2013 ,"'17 points' ","'Other' ",50
2013 ,"'17 points' ","'Unknown' ",45
2013 ,"'18 points' ","'Asian' ",660
2013 ,"'18 points' ","'Black' ",40
2013 ,"'18 points' ","'Mixed' ",195
2013 ,"'18 points' ","'White' ",3895
2013 ,"'18 points' ","'Other' ",50
2013 ,"'18 points' ","'Unknown' ",45
2014 ,"'3 points' ","'Asian' ",35
2014 ,"'3 points' ","'Black' ",15
2014 ,"'3 points' ","'Mixed' ",5
2014 ,"'3 points' ","'White' ",95
2014 ,"'4 points' ","'Asian' ",130
2014 ,"'4 points' ","'Black' ",70
2014 ,"'4 points' ","'Mixed' ",25
2014 ,"'4 points' ","'White' ",465
2014 ,"'4 points' ","'Other' ",10
2014 ,"'5 points' ","'Asian' ",320
2014 ,"'5 points' ","'Black' ",160
2014 ,"'5 points' ","'Mixed' ",75
2014 ,"'5 points' ","'White' ",1300
2014 ,"'5 points' ","'Other' ",35
2014 ,"'5 points' ","'Unknown' ",5
2014 ,"'6 points' ","'Asian' ",640
2014 ,"'6 points' ","'Black' ",325
2014 ,"'6 points' ","'Mixed' ",165
2014 ,"'6 points' ","'White' ",2910
2014 ,"'6 points' ","'Other' ",55
2014 ,"'6 points' ","'Unknown' ",20
2014 ,"'7 points' ","'Asian' ",895
2014 ,"'7 points' ","'Black' ",465
2014 ,"'7 points' ","'Mixed' ",240
2014 ,"'7 points' ","'White' ",5050
2014 ,"'7 points' ","'Other' ",90
2014 ,"'7 points' ","'Unknown' ",20
2014 ,"'8 points' ","'Asian' ",1180
2014 ,"'8 points' ","'Black' ",660
2014 ,"'8 points' ","'Mixed' ",370
2014 ,"'8 points' ","'White' ",7505
2014 ,"'8 points' ","'Other' ",115
2014 ,"'8 points' ","'Unknown' ",30
2014 ,"'9 points' ","'Asian' ",1390
2014 ,"'9 points' ","'Black' ",745
2014 ,"'9 points' ","'Mixed' ",480
2014 ,"'9 points' ","'White' ",9865
2014 ,"'9 points' ","'Other' ",155
2014 ,"'9 points' ","'Unknown' ",45
2014 ,"'10 points' ","'Asian' ",1585
2014 ,"'10 points' ","'Black' ",755
2014 ,"'10 points' ","'Mixed' ",545
2014 ,"'10 points' ","'White' ",11675
2014 ,"'10 points' ","'Other' ",170
2014 ,"'10 points' ","'Unknown' ",55
2014 ,"'11 points' ","'Asian' ",1590
2014 ,"'11 points' ","'Black' ",735
2014 ,"'11 points' ","'Mixed' ",570
2014 ,"'11 points' ","'White' ",12545
2014 ,"'11 points' ","'Other' ",210
2014 ,"'11 points' ","'Unknown' ",50
2014 ,"'12 points' ","'Asian' ",1700
2014 ,"'12 points' ","'Black' ",595
2014 ,"'12 points' ","'Mixed' ",605
2014 ,"'12 points' ","'White' ",13515
2014 ,"'12 points' ","'Other' ",210
2014 ,"'12 points' ","'Unknown' ",55
2014 ,"'13 points' ","'Asian' ",1540
2014 ,"'13 points' ","'Black' ",505
2014 ,"'13 points' ","'Mixed' ",585
2014 ,"'13 points' ","'White' ",12980
2014 ,"'13 points' ","'Other' ",175
2014 ,"'13 points' ","'Unknown' ",75
2014 ,"'14 points' ","'Asian' ",1390
2014 ,"'14 points' ","'Black' ",415
2014 ,"'14 points' ","'Mixed' ",550
2014 ,"'14 points' ","'White' ",11645
2014 ,"'14 points' ","'Other' ",130
2014 ,"'14 points' ","'Unknown' ",65
2014 ,"'15 points' ","'Asian' ",1300
2014 ,"'15 points' ","'Black' ",275
2014 ,"'15 points' ","'Mixed' ",560
2014 ,"'15 points' ","'White' ",10650
2014 ,"'15 points' ","'Other' ",130
2014 ,"'15 points' ","'Unknown' ",75
2014 ,"'16 points' ","'Asian' ",985
2014 ,"'16 points' ","'Black' ",165
2014 ,"'16 points' ","'Mixed' ",420
2014 ,"'16 points' ","'White' ",8235
2014 ,"'16 points' ","'Other' ",110
2014 ,"'16 points' ","'Unknown' ",60
2014 ,"'17 points' ","'Asian' ",620
2014 ,"'17 points' ","'Black' ",80
2014 ,"'17 points' ","'Mixed' ",295
2014 ,"'17 points' ","'White' ",5325
2014 ,"'17 points' ","'Other' ",70
2014 ,"'17 points' ","'Unknown' ",35
2014 ,"'18 points' ","'Asian' ",700
2014 ,"'18 points' ","'Black' ",45
2014 ,"'18 points' ","'Mixed' ",265
2014 ,"'18 points' ","'White' ",4070
2014 ,"'18 points' ","'Other' ",60
2014 ,"'18 points' ","'Unknown' ",40
2015 ,"'3 points' ","'Asian' ",25
2015 ,"'3 points' ","'Black' ",20
2015 ,"'3 points' ","'Mixed' ",10
2015 ,"'3 points' ","'White' ",90
2015 ,"'3 points' ","'Other' ",5
2015 ,"'4 points' ","'Asian' ",130
2015 ,"'4 points' ","'Black' ",80
2015 ,"'4 points' ","'Mixed' ",30
2015 ,"'4 points' ","'White' ",420
2015 ,"'4 points' ","'Other' ",10
2015 ,"'4 points' ","'Unknown' ",5
2015 ,"'5 points' ","'Asian' ",320
2015 ,"'5 points' ","'Black' ",200
2015 ,"'5 points' ","'Mixed' ",75
2015 ,"'5 points' ","'White' ",1275
2015 ,"'5 points' ","'Other' ",25
2015 ,"'5 points' ","'Unknown' ",15
2015 ,"'6 points' ","'Asian' ",600
2015 ,"'6 points' ","'Black' ",350
2015 ,"'6 points' ","'Mixed' ",175
2015 ,"'6 points' ","'White' ",2855
2015 ,"'6 points' ","'Other' ",65
2015 ,"'6 points' ","'Unknown' ",20
2015 ,"'7 points' ","'Asian' ",955
2015 ,"'7 points' ","'Black' ",530
2015 ,"'7 points' ","'Mixed' ",320
2015 ,"'7 points' ","'White' ",5025
2015 ,"'7 points' ","'Other' ",110
2015 ,"'7 points' ","'Unknown' ",40
2015 ,"'8 points' ","'Asian' ",1275
2015 ,"'8 points' ","'Black' ",670
2015 ,"'8 points' ","'Mixed' ",440
2015 ,"'8 points' ","'White' ",7600
2015 ,"'8 points' ","'Other' ",145
2015 ,"'8 points' ","'Unknown' ",60
2015 ,"'9 points' ","'Asian' ",1580
2015 ,"'9 points' ","'Black' ",750
2015 ,"'9 points' ","'Mixed' ",520
2015 ,"'9 points' ","'White' ",10225
2015 ,"'9 points' ","'Other' ",190
2015 ,"'9 points' ","'Unknown' ",50
