"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (High Level) , Entry Year"
"Coverage:   Accepted through the main scheme, UK domiciled and direct entry or deferred by one year"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_020_02.pdf"
 
Entry Year,Provider Name , Applicant Domicile (High Level),Number of Acceptances,
2007 ,"'M20 The University of Manchester' ","'Scotland' ",45
2007 ,"'M20 The University of Manchester' ","'Wales' ",190
2007 ,"'M40 The Manchester Metropolitan University' ","'England' ",5875
2007 ,"'M40 The Manchester Metropolitan University' ","'Northern Ireland' ",105
2007 ,"'M40 The Manchester Metropolitan University' ","'Scotland' ",50
2007 ,"'M40 The Manchester Metropolitan University' ","'Wales' ",155
2007 ,"'M50 UCP Marjon - University College Plymouth St Mark & St John (formerly Marjon)' ","'England' ",590
2007 ,"'M50 UCP Marjon - University College Plymouth St Mark & St John (formerly Marjon)' ","'Northern Ireland' ",5
2007 ,"'M50 UCP Marjon - University College Plymouth St Mark & St John (formerly Marjon)' ","'Wales' ",5
2007 ,"'M60 Matthew Boulton College of Further and Higher Education' ","'England' ",15
2007 ,"'M62 Medway School of Pharmacy' ","'England' ",85
2007 ,"'M80 Middlesex University' ","'England' ",2235
2007 ,"'M80 Middlesex University' ","'Scotland' ",5
2007 ,"'M80 Middlesex University' ","'Wales' ",10
2007 ,"'M95 Mountview Academy of Theatre Arts' ","'England' ",75
2007 ,"'M95 Mountview Academy of Theatre Arts' ","'Scotland' ",5
2007 ,"'M95 Mountview Academy of Theatre Arts' ","'Wales' ",5
2007 ,"'M99 Myerscough College' ","'England' ",195
2007 ,"'M99 Myerscough College' ","'Northern Ireland' ",5
2007 ,"'M99 Myerscough College' ","'Scotland' ",5
2007 ,"'M99 Myerscough College' ","'Wales' ",5
2007 ,"'N07 Napier University, Edinburgh' ","'England' ",100
2007 ,"'N07 Napier University, Edinburgh' ","'Northern Ireland' ",65
2007 ,"'N07 Napier University, Edinburgh' ","'Scotland' ",1420
2007 ,"'N07 Napier University, Edinburgh' ","'Wales' ",5
2007 ,"'N13 NPTC Group' ","'Wales' ",55
2007 ,"'N21 Newcastle University' ","'England' ",3325
2007 ,"'N21 Newcastle University' ","'Northern Ireland' ",160
2007 ,"'N21 Newcastle University' ","'Scotland' ",115
2007 ,"'N21 Newcastle University' ","'Wales' ",40
2007 ,"'N23 Newcastle College' ","'England' ",670
2007 ,"'N23 Newcastle College' ","'Northern Ireland' ",15
2007 ,"'N23 Newcastle College' ","'Scotland' ",10
2007 ,"'N23 Newcastle College' ","'Wales' ",5
2007 ,"'N28 New College Durham' ","'England' ",125
2007 ,"'N30 New College Nottingham' ","'England' ",155
2007 ,"'N36 Newman University, Birmingham' ","'England' ",535
2007 ,"'N37 University of South Wales (formerly University of Wales, Newport)' ","'England' ",320
