"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Age Band , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_009_01.pdf"
 
Cycle Year,Provider Name , Age Band,Number of Acceptances,
2006 ,"'C95 Cumbria Institute of the Arts' ","'21 and over' ",75
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'18' ",80
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'19' ",40
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'20' ",15
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'21 and over' ",40
2006 ,"'D22 Dearne Valley College' ","'18' ",20
2006 ,"'D22 Dearne Valley College' ","'19' ",5
2006 ,"'D26 De Montfort University' ","'17 and under' ",10
2006 ,"'D26 De Montfort University' ","'18' ",1920
2006 ,"'D26 De Montfort University' ","'19' ",1035
2006 ,"'D26 De Montfort University' ","'20' ",345
2006 ,"'D26 De Montfort University' ","'21 and over' ",710
2006 ,"'D39 University of Derby' ","'18' ",960
2006 ,"'D39 University of Derby' ","'19' ",410
2006 ,"'D39 University of Derby' ","'20' ",185
2006 ,"'D39 University of Derby' ","'21 and over' ",505
2006 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'18' ",15
2006 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'19' ",15
2006 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'20' ",20
2006 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'21 and over' ",25
2006 ,"'D52 Doncaster College' ","'18' ",45
2006 ,"'D52 Doncaster College' ","'19' ",30
2006 ,"'D52 Doncaster College' ","'20' ",45
2006 ,"'D52 Doncaster College' ","'21 and over' ",125
2006 ,"'D55 Duchy College' ","'17 and under' ",5
2006 ,"'D55 Duchy College' ","'18' ",50
2006 ,"'D55 Duchy College' ","'19' ",15
2006 ,"'D55 Duchy College' ","'20' ",5
2006 ,"'D55 Duchy College' ","'21 and over' ",55
2006 ,"'D58 Dudley College of Technology' ","'18' ",10
2006 ,"'D58 Dudley College of Technology' ","'19' ",5
2006 ,"'D58 Dudley College of Technology' ","'20' ",5
2006 ,"'D58 Dudley College of Technology' ","'21 and over' ",5
2006 ,"'D65 University of Dundee' ","'17 and under' ",35
2006 ,"'D65 University of Dundee' ","'18' ",1045
2006 ,"'D65 University of Dundee' ","'19' ",275
2006 ,"'D65 University of Dundee' ","'20' ",115
2006 ,"'D65 University of Dundee' ","'21 and over' ",385
2006 ,"'D86 Durham University' ","'17 and under' ",40
2006 ,"'D86 Durham University' ","'18' ",2485
2006 ,"'D86 Durham University' ","'19' ",355
2006 ,"'D86 Durham University' ","'20' ",55
2006 ,"'D86 Durham University' ","'21 and over' ",195
2006 ,"'E14 University of East Anglia (UEA)' ","'17 and under' ",15
2006 ,"'E14 University of East Anglia (UEA)' ","'18' ",1545
2006 ,"'E14 University of East Anglia (UEA)' ","'19' ",280
2006 ,"'E14 University of East Anglia (UEA)' ","'20' ",80
2006 ,"'E14 University of East Anglia (UEA)' ","'21 and over' ",420
2006 ,"'E28 University of East London (UEL)' ","'17 and under' ",5
2006 ,"'E28 University of East London (UEL)' ","'18' ",625
2006 ,"'E28 University of East London (UEL)' ","'19' ",580
2006 ,"'E28 University of East London (UEL)' ","'20' ",395
2006 ,"'E28 University of East London (UEL)' ","'21 and over' ",1640
2006 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'18' ",5
2006 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'19' ",15
2006 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'20' ",5
2006 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'21 and over' ",15
2006 ,"'E42 Edge Hill University' ","'18' ",1030
2006 ,"'E42 Edge Hill University' ","'19' ",265
2006 ,"'E42 Edge Hill University' ","'20' ",120
2006 ,"'E42 Edge Hill University' ","'21 and over' ",425
2006 ,"'E56 The University of Edinburgh' ","'17 and under' ",65
2006 ,"'E56 The University of Edinburgh' ","'18' ",2510
2006 ,"'E56 The University of Edinburgh' ","'19' ",400
2006 ,"'E56 The University of Edinburgh' ","'20' ",85
2006 ,"'E56 The University of Edinburgh' ","'21 and over' ",385
2006 ,"'E58 Edinburgh College of Art' ","'17 and under' ",5
2006 ,"'E58 Edinburgh College of Art' ","'18' ",130
2006 ,"'E58 Edinburgh College of Art' ","'19' ",70
2006 ,"'E58 Edinburgh College of Art' ","'20' ",20
2006 ,"'E58 Edinburgh College of Art' ","'21 and over' ",65
2006 ,"'E70 The University of Essex' ","'17 and under' ",5
2006 ,"'E70 The University of Essex' ","'18' ",945
2006 ,"'E70 The University of Essex' ","'19' ",255
2006 ,"'E70 The University of Essex' ","'20' ",95
2006 ,"'E70 The University of Essex' ","'21 and over' ",210
2006 ,"'E77 European Business School, London' ","'18' ",5
2006 ,"'E80 European School of Osteopathy' ","'18' ",10
2006 ,"'E80 European School of Osteopathy' ","'19' ",5
2006 ,"'E80 European School of Osteopathy' ","'20' ",5
2006 ,"'E80 European School of Osteopathy' ","'21 and over' ",20
2006 ,"'E81 Exeter College' ","'18' ",25
2006 ,"'E81 Exeter College' ","'19' ",10
2006 ,"'E81 Exeter College' ","'20' ",5
2006 ,"'E81 Exeter College' ","'21 and over' ",5
2006 ,"'E84 University of Exeter' ","'17 and under' ",25
2006 ,"'E84 University of Exeter' ","'18' ",2270
2006 ,"'E84 University of Exeter' ","'19' ",335
2006 ,"'E84 University of Exeter' ","'20' ",100
2006 ,"'E84 University of Exeter' ","'21 and over' ",255
2006 ,"'F33 Falmouth University' ","'18' ",220
2006 ,"'F33 Falmouth University' ","'19' ",290
2006 ,"'F33 Falmouth University' ","'20' ",85
2006 ,"'F33 Falmouth University' ","'21 and over' ",130
2006 ,"'F66 University Centre Farnborough' ","'18' ",65
2006 ,"'F66 University Centre Farnborough' ","'19' ",35
2006 ,"'F66 University Centre Farnborough' ","'20' ",10
2006 ,"'F66 University Centre Farnborough' ","'21 and over' ",55
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'17 and under' ",5
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'18' ",1445
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'19' ",445
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'20' ",185
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'21 and over' ",680
2006 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'18' ",15
2006 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'19' ",30
2006 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'20' ",10
2006 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'21 and over' ",20
2006 ,"'G28 University of Glasgow' ","'17 and under' ",155
2006 ,"'G28 University of Glasgow' ","'18' ",2600
2006 ,"'G28 University of Glasgow' ","'19' ",375
2006 ,"'G28 University of Glasgow' ","'20' ",130
2006 ,"'G28 University of Glasgow' ","'21 and over' ",495
2006 ,"'G42 Glasgow Caledonian University' ","'17 and under' ",45
2006 ,"'G42 Glasgow Caledonian University' ","'18' ",1315
2006 ,"'G42 Glasgow Caledonian University' ","'19' ",315
2006 ,"'G42 Glasgow Caledonian University' ","'20' ",325
2006 ,"'G42 Glasgow Caledonian University' ","'21 and over' ",910
2006 ,"'G43 The Glasgow School of Art' ","'18' ",130
2006 ,"'G43 The Glasgow School of Art' ","'19' ",75
2006 ,"'G43 The Glasgow School of Art' ","'20' ",20
2006 ,"'G43 The Glasgow School of Art' ","'21 and over' ",45
2006 ,"'G45 Gloucestershire College' ","'18' ",5
2006 ,"'G45 Gloucestershire College' ","'21 and over' ",5
2006 ,"'G50 The University of Gloucestershire' ","'17 and under' ",5
2006 ,"'G50 The University of Gloucestershire' ","'18' ",1050
2006 ,"'G50 The University of Gloucestershire' ","'19' ",335
2006 ,"'G50 The University of Gloucestershire' ","'20' ",130
2006 ,"'G50 The University of Gloucestershire' ","'21 and over' ",330
2006 ,"'G56 Goldsmiths, University of London' ","'18' ",520
2006 ,"'G56 Goldsmiths, University of London' ","'19' ",240
2006 ,"'G56 Goldsmiths, University of London' ","'20' ",125
2006 ,"'G56 Goldsmiths, University of London' ","'21 and over' ",410
2006 ,"'G64 Great Yarmouth College' ","'18' ",15
2006 ,"'G64 Great Yarmouth College' ","'19' ",10
2006 ,"'G64 Great Yarmouth College' ","'20' ",5
2006 ,"'G64 Great Yarmouth College' ","'21 and over' ",10
2006 ,"'G70 University of Greenwich' ","'17 and under' ",15
2006 ,"'G70 University of Greenwich' ","'18' ",945
2006 ,"'G70 University of Greenwich' ","'19' ",485
2006 ,"'G70 University of Greenwich' ","'20' ",240
2006 ,"'G70 University of Greenwich' ","'21 and over' ",930
2006 ,"'G74 GSM London (formerly Greenwich School of Management)' ","'21 and over' ",5
2006 ,"'G80 University Centre Grimsby' ","'18' ",45
2006 ,"'G80 University Centre Grimsby' ","'19' ",35
2006 ,"'G80 University Centre Grimsby' ","'20' ",25
2006 ,"'G80 University Centre Grimsby' ","'21 and over' ",140
2006 ,"'G90 Guildford College' ","'18' ",40
2006 ,"'G90 Guildford College' ","'19' ",15
2006 ,"'G90 Guildford College' ","'20' ",15
2006 ,"'G90 Guildford College' ","'21 and over' ",50
2006 ,"'H06 Halton College' ","'18' ",5
2006 ,"'H06 Halton College' ","'21 and over' ",10
2006 ,"'H12 Harper Adams University' ","'18' ",285
2006 ,"'H12 Harper Adams University' ","'19' ",70
2006 ,"'H12 Harper Adams University' ","'20' ",20
2006 ,"'H12 Harper Adams University' ","'21 and over' ",20
2006 ,"'H14 Havering College of Further and Higher Education' ","'18' ",10
2006 ,"'H14 Havering College of Further and Higher Education' ","'19' ",5
2006 ,"'H14 Havering College of Further and Higher Education' ","'20' ",5
2006 ,"'H14 Havering College of Further and Higher Education' ","'21 and over' ",70
2006 ,"'H18 Hereford College of Arts' ","'18' ",25
