"Statistic:   Number of Applicants"
"Variables:   Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_031_06.pdf"
 
Cycle Year,Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level),Number of Applicants,
2009 ,"'Sixth form college' ","'19' ","'Women' ","'Northern Ireland' ",30
2009 ,"'Sixth form college' ","'19' ","'Women' ","'Scotland' ",5
2009 ,"'Sixth form college' ","'19' ","'Women' ","'Wales' ",210
2009 ,"'State' ","'18' ","'Men' ","'England' ",19455
2009 ,"'State' ","'18' ","'Men' ","'Northern Ireland' ",975
2009 ,"'State' ","'18' ","'Men' ","'Scotland' ",6780
2009 ,"'State' ","'18' ","'Men' ","'Wales' ",3580
2009 ,"'State' ","'18' ","'Women' ","'England' ",24450
2009 ,"'State' ","'18' ","'Women' ","'Northern Ireland' ",1815
2009 ,"'State' ","'18' ","'Women' ","'Scotland' ",8530
2009 ,"'State' ","'18' ","'Women' ","'Wales' ",4680
2009 ,"'State' ","'19' ","'Men' ","'England' ",5760
2009 ,"'State' ","'19' ","'Men' ","'Northern Ireland' ",150
2009 ,"'State' ","'19' ","'Men' ","'Scotland' ",905
2009 ,"'State' ","'19' ","'Men' ","'Wales' ",645
2009 ,"'State' ","'19' ","'Women' ","'England' ",6280
2009 ,"'State' ","'19' ","'Women' ","'Northern Ireland' ",255
2009 ,"'State' ","'19' ","'Women' ","'Scotland' ",935
2009 ,"'State' ","'19' ","'Women' ","'Wales' ",705
2009 ,"'Other' ","'18' ","'Men' ","'England' ",3045
2009 ,"'Other' ","'18' ","'Men' ","'Northern Ireland' ",40
2009 ,"'Other' ","'18' ","'Men' ","'Scotland' ",70
2009 ,"'Other' ","'18' ","'Men' ","'Wales' ",105
2009 ,"'Other' ","'18' ","'Women' ","'England' ",4520
