"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Accepted through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_012_02.pdf"
 
Cycle Year,Provider Name , Ethnic Group (Summary Level),Number of Acceptances,
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'White' ",2080
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Other' ",10
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Unknown' ",20
2006 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'White' ",60
2006 ,"'G28 University of Glasgow' ","'Asian' ",110
2006 ,"'G28 University of Glasgow' ","'Black' ",10
2006 ,"'G28 University of Glasgow' ","'Mixed' ",40
2006 ,"'G28 University of Glasgow' ","'White' ",3275
2006 ,"'G28 University of Glasgow' ","'Other' ",10
2006 ,"'G28 University of Glasgow' ","'Unknown' ",45
2006 ,"'G42 Glasgow Caledonian University' ","'Asian' ",150
2006 ,"'G42 Glasgow Caledonian University' ","'Black' ",20
2006 ,"'G42 Glasgow Caledonian University' ","'Mixed' ",25
2006 ,"'G42 Glasgow Caledonian University' ","'White' ",2380
2006 ,"'G42 Glasgow Caledonian University' ","'Other' ",5
2006 ,"'G42 Glasgow Caledonian University' ","'Unknown' ",15
2006 ,"'G43 The Glasgow School of Art' ","'Mixed' ",5
2006 ,"'G43 The Glasgow School of Art' ","'White' ",255
2006 ,"'G43 The Glasgow School of Art' ","'Unknown' ",5
2006 ,"'G45 Gloucestershire College' ","'White' ",10
2006 ,"'G50 The University of Gloucestershire' ","'Asian' ",30
2006 ,"'G50 The University of Gloucestershire' ","'Black' ",20
2006 ,"'G50 The University of Gloucestershire' ","'Mixed' ",25
2006 ,"'G50 The University of Gloucestershire' ","'White' ",1500
2006 ,"'G50 The University of Gloucestershire' ","'Other' ",5
2006 ,"'G50 The University of Gloucestershire' ","'Unknown' ",10
2006 ,"'G56 Goldsmiths, University of London' ","'Asian' ",120
2006 ,"'G56 Goldsmiths, University of London' ","'Black' ",100
2006 ,"'G56 Goldsmiths, University of London' ","'Mixed' ",55
2006 ,"'G56 Goldsmiths, University of London' ","'White' ",615
2006 ,"'G56 Goldsmiths, University of London' ","'Other' ",25
2006 ,"'G56 Goldsmiths, University of London' ","'Unknown' ",20
2006 ,"'G64 Great Yarmouth College' ","'White' ",30
2006 ,"'G70 University of Greenwich' ","'Asian' ",355
2006 ,"'G70 University of Greenwich' ","'Black' ",375
2006 ,"'G70 University of Greenwich' ","'Mixed' ",95
2006 ,"'G70 University of Greenwich' ","'White' ",980
2006 ,"'G70 University of Greenwich' ","'Other' ",55
2006 ,"'G70 University of Greenwich' ","'Unknown' ",45
2006 ,"'G80 University Centre Grimsby' ","'White' ",90
2006 ,"'G90 Guildford College' ","'Asian' ",5
2006 ,"'G90 Guildford College' ","'White' ",105
2006 ,"'H06 Halton College' ","'White' ",15
2006 ,"'H12 Harper Adams University' ","'White' ",370
2006 ,"'H14 Havering College of Further and Higher Education' ","'Black' ",10
2006 ,"'H14 Havering College of Further and Higher Education' ","'White' ",5
2006 ,"'H18 Hereford College of Arts' ","'White' ",110
2006 ,"'H18 Hereford College of Arts' ","'Unknown' ",5
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'Asian' ",45
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'Black' ",10
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'Mixed' ",20
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'White' ",980
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'Other' ",5
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'Unknown' ",15
2006 ,"'H36 University of Hertfordshire' ","'Asian' ",740
2006 ,"'H36 University of Hertfordshire' ","'Black' ",495
2006 ,"'H36 University of Hertfordshire' ","'Mixed' ",125
2006 ,"'H36 University of Hertfordshire' ","'White' ",2020
2006 ,"'H36 University of Hertfordshire' ","'Other' ",130
2006 ,"'H36 University of Hertfordshire' ","'Unknown' ",50
2006 ,"'H37 Hertford Regional College' ","'White' ",25
2006 ,"'H39 Highbury College' ","'White' ",15
2006 ,"'H48 Heythrop College (University of London)' ","'Asian' ",5
2006 ,"'H48 Heythrop College (University of London)' ","'Black' ",5
2006 ,"'H48 Heythrop College (University of London)' ","'Mixed' ",5
2006 ,"'H48 Heythrop College (University of London)' ","'White' ",90
2006 ,"'H48 Heythrop College (University of London)' ","'Other' ",5
2006 ,"'H49 University of the Highlands and Islands' ","'Asian' ",5
2006 ,"'H49 University of the Highlands and Islands' ","'White' ",175
2006 ,"'H54 Hopwood Hall College' ","'Asian' ",5
2006 ,"'H54 Hopwood Hall College' ","'White' ",15
2006 ,"'H60 The University of Huddersfield' ","'Asian' ",340
2006 ,"'H60 The University of Huddersfield' ","'Black' ",80
2006 ,"'H60 The University of Huddersfield' ","'Mixed' ",70
2006 ,"'H60 The University of Huddersfield' ","'White' ",2290
2006 ,"'H60 The University of Huddersfield' ","'Other' ",5
2006 ,"'H60 The University of Huddersfield' ","'Unknown' ",20
2006 ,"'H72 The University of Hull' ","'Asian' ",55
2006 ,"'H72 The University of Hull' ","'Black' ",65
2006 ,"'H72 The University of Hull' ","'Mixed' ",40
2006 ,"'H72 The University of Hull' ","'White' ",2190
2006 ,"'H72 The University of Hull' ","'Other' ",15
2006 ,"'H72 The University of Hull' ","'Unknown' ",35
2006 ,"'H73 Hull College' ","'Asian' ",5
2006 ,"'H73 Hull College' ","'Mixed' ",5
2006 ,"'H73 Hull College' ","'White' ",260
2006 ,"'H75 Hull York Medical School' ","'Asian' ",25
