"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Accepted through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_004_02.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (High Level),Number of Acceptances,
2006 ,"'L07 The University of Wales, Lampeter' ","'Wales' ",75
2006 ,"'L14 Lancaster University' ","'England' ",2120
2006 ,"'L14 Lancaster University' ","'Northern Ireland' ",10
2006 ,"'L14 Lancaster University' ","'Scotland' ",10
2006 ,"'L14 Lancaster University' ","'Wales' ",40
2006 ,"'L21 Leeds City College' ","'England' ",10
2006 ,"'L23 University of Leeds' ","'England' ",5400
2006 ,"'L23 University of Leeds' ","'Northern Ireland' ",25
2006 ,"'L23 University of Leeds' ","'Scotland' ",65
2006 ,"'L23 University of Leeds' ","'Wales' ",100
2006 ,"'L24 Leeds Trinity University' ","'England' ",625
2006 ,"'L24 Leeds Trinity University' ","'Northern Ireland' ",5
2006 ,"'L27 Leeds Beckett University' ","'England' ",4950
2006 ,"'L27 Leeds Beckett University' ","'Northern Ireland' ",40
2006 ,"'L27 Leeds Beckett University' ","'Scotland' ",20
2006 ,"'L27 Leeds Beckett University' ","'Wales' ",35
2006 ,"'L28 Leeds College of Art' ","'England' ",360
2006 ,"'L28 Leeds College of Art' ","'Northern Ireland' ",5
2006 ,"'L28 Leeds College of Art' ","'Scotland' ",5
2006 ,"'L30 Leeds College of Music (UCAS)' ","'England' ",60
2006 ,"'L34 University of Leicester' ","'England' ",1675
2006 ,"'L34 University of Leicester' ","'Northern Ireland' ",5
2006 ,"'L34 University of Leicester' ","'Scotland' ",5
2006 ,"'L34 University of Leicester' ","'Wales' ",20
2006 ,"'L36 Leicester College' ","'England' ",35
2006 ,"'L39 University of Lincoln' ","'England' ",2620
2006 ,"'L39 University of Lincoln' ","'Northern Ireland' ",15
2006 ,"'L39 University of Lincoln' ","'Scotland' ",5
2006 ,"'L39 University of Lincoln' ","'Wales' ",15
2006 ,"'L41 The University of Liverpool' ","'England' ",3000
2006 ,"'L41 The University of Liverpool' ","'Northern Ireland' ",120
2006 ,"'L41 The University of Liverpool' ","'Scotland' ",20
2006 ,"'L41 The University of Liverpool' ","'Wales' ",200
2006 ,"'L43 The City of Liverpool College' ","'England' ",50
2006 ,"'L43 The City of Liverpool College' ","'Northern Ireland' ",5
2006 ,"'L46 Liverpool Hope University' ","'England' ",1045
2006 ,"'L46 Liverpool Hope University' ","'Northern Ireland' ",225
2006 ,"'L46 Liverpool Hope University' ","'Scotland' ",5
2006 ,"'L46 Liverpool Hope University' ","'Wales' ",25
2006 ,"'L48 The Liverpool Institute for Performing Arts' ","'England' ",140
2006 ,"'L48 The Liverpool Institute for Performing Arts' ","'Scotland' ",10
2006 ,"'L48 The Liverpool Institute for Performing Arts' ","'Wales' ",5
2006 ,"'L51 Liverpool John Moores University (LJMU)' ","'England' ",3335
2006 ,"'L51 Liverpool John Moores University (LJMU)' ","'Northern Ireland' ",425
2006 ,"'L51 Liverpool John Moores University (LJMU)' ","'Scotland' ",5
2006 ,"'L51 Liverpool John Moores University (LJMU)' ","'Wales' ",215
2006 ,"'L53 Coleg Llandrillo' ","'Wales' ",25
2006 ,"'L68 London Metropolitan University' ","'England' ",1820
2006 ,"'L68 London Metropolitan University' ","'Northern Ireland' ",5
2006 ,"'L68 London Metropolitan University' ","'Scotland' ",10
2006 ,"'L68 London Metropolitan University' ","'Wales' ",20
2006 ,"'L72 London School of Economics and Political Science (University of London)' ","'England' ",575
2006 ,"'L72 London School of Economics and Political Science (University of London)' ","'Northern Ireland' ",10
2006 ,"'L72 London School of Economics and Political Science (University of London)' ","'Scotland' ",5
2006 ,"'L72 London School of Economics and Political Science (University of London)' ","'Wales' ",10
2006 ,"'L75 London South Bank University' ","'England' ",1355
2006 ,"'L75 London South Bank University' ","'Scotland' ",5
2006 ,"'L75 London South Bank University' ","'Wales' ",5
2006 ,"'L77 Loughborough College' ","'England' ",150
2006 ,"'L77 Loughborough College' ","'Scotland' ",5
2006 ,"'L79 Loughborough University' ","'England' ",2725
2006 ,"'L79 Loughborough University' ","'Northern Ireland' ",15
2006 ,"'L79 Loughborough University' ","'Scotland' ",15
2006 ,"'L79 Loughborough University' ","'Wales' ",60
2006 ,"'L82 Lowestoft College' ","'England' ",5
2006 ,"'L93 University of Luton' ","'England' ",1395
2006 ,"'L93 University of Luton' ","'Northern Ireland' ",5
2006 ,"'L93 University of Luton' ","'Wales' ",5
2006 ,"'M10 The Manchester College' ","'England' ",30
2006 ,"'M20 The University of Manchester' ","'England' ",5055
2006 ,"'M20 The University of Manchester' ","'Northern Ireland' ",110
2006 ,"'M20 The University of Manchester' ","'Scotland' ",40
2006 ,"'M20 The University of Manchester' ","'Wales' ",185
2006 ,"'M40 The Manchester Metropolitan University' ","'England' ",5890
2006 ,"'M40 The Manchester Metropolitan University' ","'Northern Ireland' ",140
2006 ,"'M40 The Manchester Metropolitan University' ","'Scotland' ",40
2006 ,"'M40 The Manchester Metropolitan University' ","'Wales' ",165
2006 ,"'M50 UCP Marjon - University College Plymouth St Mark & St John (formerly Marjon)' ","'England' ",640
2006 ,"'M50 UCP Marjon - University College Plymouth St Mark & St John (formerly Marjon)' ","'Wales' ",10
2006 ,"'M60 Matthew Boulton College of Further and Higher Education' ","'England' ",5
2006 ,"'M62 Medway School of Pharmacy' ","'England' ",50
2006 ,"'M65 Coleg Menai' ","'Wales' ",5
