"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Entry Year"
"Coverage:   Direct entry or deferred by one year"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_019_01.pdf"
 
Entry Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2007 ,"'G90 Guildford College' ","'Not EU' ",5
2007 ,"'H12 Harper Adams University' ","'UK' ",500
2007 ,"'H12 Harper Adams University' ","'EU (excluding UK)' ",10
2007 ,"'H14 Havering College of Further and Higher Education' ","'UK' ",230
2007 ,"'H14 Havering College of Further and Higher Education' ","'Not EU' ",5
2007 ,"'H18 Hereford College of Arts' ","'UK' ",105
2007 ,"'H18 Hereford College of Arts' ","'EU (excluding UK)' ",10
2007 ,"'H18 Hereford College of Arts' ","'Not EU' ",5
2007 ,"'H24 Heriot-Watt University, Edinburgh' ","'UK' ",1290
2007 ,"'H24 Heriot-Watt University, Edinburgh' ","'EU (excluding UK)' ",430
2007 ,"'H24 Heriot-Watt University, Edinburgh' ","'Not EU' ",235
2007 ,"'H36 University of Hertfordshire' ","'UK' ",3940
2007 ,"'H36 University of Hertfordshire' ","'EU (excluding UK)' ",90
2007 ,"'H36 University of Hertfordshire' ","'Not EU' ",80
2007 ,"'H39 Highbury College' ","'UK' ",30
2007 ,"'H48 Heythrop College (University of London)' ","'UK' ",145
2007 ,"'H48 Heythrop College (University of London)' ","'EU (excluding UK)' ",5
2007 ,"'H48 Heythrop College (University of London)' ","'Not EU' ",10
2007 ,"'H49 University of the Highlands and Islands' ","'UK' ",115
2007 ,"'H49 University of the Highlands and Islands' ","'EU (excluding UK)' ",5
2007 ,"'H49 University of the Highlands and Islands' ","'Not EU' ",5
2007 ,"'H50 Holborn College' ","'Not EU' ",5
2007 ,"'H54 Hopwood Hall College' ","'UK' ",25
2007 ,"'H60 The University of Huddersfield' ","'UK' ",3870
2007 ,"'H60 The University of Huddersfield' ","'EU (excluding UK)' ",60
2007 ,"'H60 The University of Huddersfield' ","'Not EU' ",85
2007 ,"'H72 The University of Hull' ","'UK' ",3145
2007 ,"'H72 The University of Hull' ","'EU (excluding UK)' ",260
2007 ,"'H72 The University of Hull' ","'Not EU' ",730
2007 ,"'H73 Hull College' ","'UK' ",415
2007 ,"'H73 Hull College' ","'EU (excluding UK)' ",5
2007 ,"'H75 Hull York Medical School' ","'UK' ",125
2007 ,"'H75 Hull York Medical School' ","'EU (excluding UK)' ",10
2007 ,"'H75 Hull York Medical School' ","'Not EU' ",20
2007 ,"'I50 Imperial College London' ","'UK' ",1455
2007 ,"'I50 Imperial College London' ","'EU (excluding UK)' ",245
2007 ,"'I50 Imperial College London' ","'Not EU' ",645
2007 ,"'K12 Keele University' ","'UK' ",1565
2007 ,"'K12 Keele University' ","'EU (excluding UK)' ",40
2007 ,"'K12 Keele University' ","'Not EU' ",70
2007 ,"'K24 The University of Kent' ","'UK' ",3445
2007 ,"'K24 The University of Kent' ","'EU (excluding UK)' ",310
2007 ,"'K24 The University of Kent' ","'Not EU' ",440
2007 ,"'K60 King's College London (University of London)' ","'UK' ",2665
2007 ,"'K60 King's College London (University of London)' ","'EU (excluding UK)' ",230
2007 ,"'K60 King's College London (University of London)' ","'Not EU' ",390
2007 ,"'K84 Kingston University' ","'UK' ",5245
2007 ,"'K84 Kingston University' ","'EU (excluding UK)' ",385
