"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Entry Year"
"Coverage:   Accepted through the main scheme and direct entry or deferred by one year"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_019_02.pdf"
 
Entry Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2007 ,"'E77 European Business School, London' ","'EU (excluding UK)' ",25
2007 ,"'E77 European Business School, London' ","'Not EU' ",15
2007 ,"'E81 Exeter College' ","'UK' ",60
2007 ,"'E84 University of Exeter' ","'UK' ",3105
2007 ,"'E84 University of Exeter' ","'EU (excluding UK)' ",100
2007 ,"'E84 University of Exeter' ","'Not EU' ",175
2007 ,"'F33 Falmouth University' ","'UK' ",720
2007 ,"'F33 Falmouth University' ","'EU (excluding UK)' ",25
2007 ,"'F33 Falmouth University' ","'Not EU' ",15
2007 ,"'F66 University Centre Farnborough' ","'UK' ",115
2007 ,"'F66 University Centre Farnborough' ","'EU (excluding UK)' ",5
2007 ,"'F66 University Centre Farnborough' ","'Not EU' ",10
2007 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'UK' ",2375
2007 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'EU (excluding UK)' ",55
2007 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Not EU' ",55
2007 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'UK' ",15
2007 ,"'G28 University of Glasgow' ","'UK' ",3610
2007 ,"'G28 University of Glasgow' ","'EU (excluding UK)' ",265
2007 ,"'G28 University of Glasgow' ","'Not EU' ",140
2007 ,"'G42 Glasgow Caledonian University' ","'UK' ",2455
2007 ,"'G42 Glasgow Caledonian University' ","'EU (excluding UK)' ",25
2007 ,"'G42 Glasgow Caledonian University' ","'Not EU' ",75
2007 ,"'G43 The Glasgow School of Art' ","'UK' ",285
2007 ,"'G43 The Glasgow School of Art' ","'EU (excluding UK)' ",40
2007 ,"'G43 The Glasgow School of Art' ","'Not EU' ",25
2007 ,"'G45 Gloucestershire College' ","'UK' ",30
2007 ,"'G50 The University of Gloucestershire' ","'UK' ",1810
2007 ,"'G50 The University of Gloucestershire' ","'EU (excluding UK)' ",35
2007 ,"'G50 The University of Gloucestershire' ","'Not EU' ",70
2007 ,"'G56 Goldsmiths, University of London' ","'UK' ",1090
2007 ,"'G56 Goldsmiths, University of London' ","'EU (excluding UK)' ",105
2007 ,"'G56 Goldsmiths, University of London' ","'Not EU' ",105
2007 ,"'G70 University of Greenwich' ","'UK' ",2000
2007 ,"'G70 University of Greenwich' ","'EU (excluding UK)' ",170
2007 ,"'G70 University of Greenwich' ","'Not EU' ",200
2007 ,"'G74 GSM London (formerly Greenwich School of Management)' ","'UK' ",20
2007 ,"'G80 University Centre Grimsby' ","'UK' ",130
2007 ,"'G90 Guildford College' ","'UK' ",90
2007 ,"'G90 Guildford College' ","'Not EU' ",5
2007 ,"'H12 Harper Adams University' ","'UK' ",445
2007 ,"'H12 Harper Adams University' ","'EU (excluding UK)' ",10
2007 ,"'H14 Havering College of Further and Higher Education' ","'UK' ",110
2007 ,"'H14 Havering College of Further and Higher Education' ","'Not EU' ",5
2007 ,"'H18 Hereford College of Arts' ","'UK' ",85
2007 ,"'H18 Hereford College of Arts' ","'EU (excluding UK)' ",10
2007 ,"'H18 Hereford College of Arts' ","'Not EU' ",5
2007 ,"'H24 Heriot-Watt University, Edinburgh' ","'UK' ",1045
2007 ,"'H24 Heriot-Watt University, Edinburgh' ","'EU (excluding UK)' ",380
2007 ,"'H24 Heriot-Watt University, Edinburgh' ","'Not EU' ",160
2007 ,"'H36 University of Hertfordshire' ","'UK' ",3270
2007 ,"'H36 University of Hertfordshire' ","'EU (excluding UK)' ",75
2007 ,"'H36 University of Hertfordshire' ","'Not EU' ",70
2007 ,"'H39 Highbury College' ","'UK' ",10
2007 ,"'H48 Heythrop College (University of London)' ","'UK' ",115
2007 ,"'H48 Heythrop College (University of London)' ","'EU (excluding UK)' ",5
2007 ,"'H48 Heythrop College (University of London)' ","'Not EU' ",5
2007 ,"'H49 University of the Highlands and Islands' ","'UK' ",115
2007 ,"'H49 University of the Highlands and Islands' ","'EU (excluding UK)' ",5
2007 ,"'H49 University of the Highlands and Islands' ","'Not EU' ",5
2007 ,"'H50 Holborn College' ","'Not EU' ",5
2007 ,"'H54 Hopwood Hall College' ","'UK' ",15
2007 ,"'H60 The University of Huddersfield' ","'UK' ",2915
2007 ,"'H60 The University of Huddersfield' ","'EU (excluding UK)' ",40
2007 ,"'H60 The University of Huddersfield' ","'Not EU' ",50
2007 ,"'H72 The University of Hull' ","'UK' ",2435
2007 ,"'H72 The University of Hull' ","'EU (excluding UK)' ",80
2007 ,"'H72 The University of Hull' ","'Not EU' ",265
2007 ,"'H73 Hull College' ","'UK' ",315
2007 ,"'H75 Hull York Medical School' ","'UK' ",120
2007 ,"'H75 Hull York Medical School' ","'EU (excluding UK)' ",10
2007 ,"'H75 Hull York Medical School' ","'Not EU' ",20
2007 ,"'I50 Imperial College London' ","'UK' ",1420
2007 ,"'I50 Imperial College London' ","'EU (excluding UK)' ",235
2007 ,"'I50 Imperial College London' ","'Not EU' ",620
2007 ,"'K12 Keele University' ","'UK' ",1280
2007 ,"'K12 Keele University' ","'EU (excluding UK)' ",35
2007 ,"'K12 Keele University' ","'Not EU' ",50
2007 ,"'K24 The University of Kent' ","'UK' ",2795
2007 ,"'K24 The University of Kent' ","'EU (excluding UK)' ",225
2007 ,"'K24 The University of Kent' ","'Not EU' ",325
2007 ,"'K60 King's College London (University of London)' ","'UK' ",2395
2007 ,"'K60 King's College London (University of London)' ","'EU (excluding UK)' ",210
2007 ,"'K60 King's College London (University of London)' ","'Not EU' ",330
2007 ,"'K84 Kingston University' ","'UK' ",3910
2007 ,"'K84 Kingston University' ","'EU (excluding UK)' ",345
2007 ,"'K84 Kingston University' ","'Not EU' ",450
2007 ,"'L07 The University of Wales, Lampeter' ","'UK' ",165
2007 ,"'L07 The University of Wales, Lampeter' ","'Not EU' ",5
2007 ,"'L14 Lancaster University' ","'UK' ",2135
2007 ,"'L14 Lancaster University' ","'EU (excluding UK)' ",165
2007 ,"'L14 Lancaster University' ","'Not EU' ",220
2007 ,"'L21 Leeds City College' ","'UK' ",30
2007 ,"'L23 University of Leeds' ","'UK' ",5945
2007 ,"'L23 University of Leeds' ","'EU (excluding UK)' ",165
2007 ,"'L23 University of Leeds' ","'Not EU' ",355
2007 ,"'L24 Leeds Trinity University' ","'UK' ",605
2007 ,"'L24 Leeds Trinity University' ","'EU (excluding UK)' ",5
2007 ,"'L24 Leeds Trinity University' ","'Not EU' ",5
2007 ,"'L27 Leeds Beckett University' ","'UK' ",5500
2007 ,"'L27 Leeds Beckett University' ","'EU (excluding UK)' ",180
2007 ,"'L27 Leeds Beckett University' ","'Not EU' ",85
2007 ,"'L28 Leeds College of Art' ","'UK' ",410
2007 ,"'L28 Leeds College of Art' ","'EU (excluding UK)' ",10
2007 ,"'L28 Leeds College of Art' ","'Not EU' ",5
2007 ,"'L30 Leeds College of Music (UCAS)' ","'UK' ",130
2007 ,"'L30 Leeds College of Music (UCAS)' ","'EU (excluding UK)' ",5
2007 ,"'L30 Leeds College of Music (UCAS)' ","'Not EU' ",5
2007 ,"'L34 University of Leicester' ","'UK' ",2125
2007 ,"'L34 University of Leicester' ","'EU (excluding UK)' ",155
2007 ,"'L34 University of Leicester' ","'Not EU' ",225
2007 ,"'L36 Leicester College' ","'UK' ",45
2007 ,"'L39 University of Lincoln' ","'UK' ",2675
2007 ,"'L39 University of Lincoln' ","'EU (excluding UK)' ",205
2007 ,"'L39 University of Lincoln' ","'Not EU' ",45
2007 ,"'L41 The University of Liverpool' ","'UK' ",3460
2007 ,"'L41 The University of Liverpool' ","'EU (excluding UK)' ",140
2007 ,"'L41 The University of Liverpool' ","'Not EU' ",245
2007 ,"'L43 The City of Liverpool College' ","'UK' ",60
2007 ,"'L46 Liverpool Hope University' ","'UK' ",1260
