"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Apply Centre Type , Cycle Year"
"Coverage:   Applications through the main scheme, UK domiciled and 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_030_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Apply Centre Type,Number of Applications,
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'State' ",45
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Academy' ",20
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Further education' ",55
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Grammar' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Independent' ",15
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Sixth form college' ",40
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'State' ",40
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Other' ",20
2007 ,"'F0 - Physical Sciences: any area of study' ","'Academy' ",30
2007 ,"'F0 - Physical Sciences: any area of study' ","'Further education' ",15
2007 ,"'F0 - Physical Sciences: any area of study' ","'Grammar' ",5
2007 ,"'F0 - Physical Sciences: any area of study' ","'Independent' ",5
2007 ,"'F0 - Physical Sciences: any area of study' ","'Sixth form college' ",40
2007 ,"'F0 - Physical Sciences: any area of study' ","'State' ",35
2007 ,"'F0 - Physical Sciences: any area of study' ","'Other' ",10
2007 ,"'F1 - Chemistry' ","'Academy' ",4580
2007 ,"'F1 - Chemistry' ","'Further education' ",955
2007 ,"'F1 - Chemistry' ","'Grammar' ",770
2007 ,"'F1 - Chemistry' ","'Independent' ",2500
2007 ,"'F1 - Chemistry' ","'Sixth form college' ",2865
2007 ,"'F1 - Chemistry' ","'State' ",5055
2007 ,"'F1 - Chemistry' ","'Other' ",290
2007 ,"'F2 - Materials Science' ","'Academy' ",5
2007 ,"'F2 - Materials Science' ","'Independent' ",5
2007 ,"'F2 - Materials Science' ","'Sixth form college' ",5
2007 ,"'F2 - Materials Science' ","'State' ",10
2007 ,"'F3 - Physics' ","'Academy' ",4600
2007 ,"'F3 - Physics' ","'Further education' ",590
2007 ,"'F3 - Physics' ","'Grammar' ",695
2007 ,"'F3 - Physics' ","'Independent' ",2225
2007 ,"'F3 - Physics' ","'Sixth form college' ",2005
2007 ,"'F3 - Physics' ","'State' ",4620
2007 ,"'F3 - Physics' ","'Other' ",230
2007 ,"'F4 - Forensic and Archaeological Science' ","'Academy' ",1380
2007 ,"'F4 - Forensic and Archaeological Science' ","'Further education' ",965
2007 ,"'F4 - Forensic and Archaeological Science' ","'Grammar' ",130
2007 ,"'F4 - Forensic and Archaeological Science' ","'Independent' ",270
2007 ,"'F4 - Forensic and Archaeological Science' ","'Sixth form college' ",1090
2007 ,"'F4 - Forensic and Archaeological Science' ","'State' ",2065
2007 ,"'F4 - Forensic and Archaeological Science' ","'Other' ",265
2007 ,"'F5 - Astronomy' ","'Academy' ",150
2007 ,"'F5 - Astronomy' ","'Further education' ",30
2007 ,"'F5 - Astronomy' ","'Grammar' ",10
2007 ,"'F5 - Astronomy' ","'Independent' ",50
2007 ,"'F5 - Astronomy' ","'Sixth form college' ",70
2007 ,"'F5 - Astronomy' ","'State' ",175
2007 ,"'F5 - Astronomy' ","'Other' ",15
2007 ,"'F6 - Geology' ","'Academy' ",1345
2007 ,"'F6 - Geology' ","'Further education' ",445
2007 ,"'F6 - Geology' ","'Grammar' ",135
2007 ,"'F6 - Geology' ","'Independent' ",790
2007 ,"'F6 - Geology' ","'Sixth form college' ",1430
