"Statistic:   Number of Acceptances"
"Variables:   Achieved A-Level point score , POLAR3 Quintile , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_042_05.pdf"
 
Cycle Year,Achieved A-Level point score , POLAR3 Quintile,Number of Acceptances,
2012 ,"'18 points' ","'Not assigned' ",5
2013 ,"'3 points' ","'POLAR3 Quintile 1' ",15
2013 ,"'3 points' ","'POLAR3 Quintile 2' ",30
2013 ,"'3 points' ","'POLAR3 Quintile 3' ",45
2013 ,"'3 points' ","'POLAR3 Quintile 4' ",40
2013 ,"'3 points' ","'POLAR3 Quintile 5' ",30
2013 ,"'4 points' ","'POLAR3 Quintile 1' ",85
2013 ,"'4 points' ","'POLAR3 Quintile 2' ",115
2013 ,"'4 points' ","'POLAR3 Quintile 3' ",135
2013 ,"'4 points' ","'POLAR3 Quintile 4' ",140
2013 ,"'4 points' ","'POLAR3 Quintile 5' ",150
2013 ,"'5 points' ","'POLAR3 Quintile 1' ",250
2013 ,"'5 points' ","'POLAR3 Quintile 2' ",340
2013 ,"'5 points' ","'POLAR3 Quintile 3' ",390
2013 ,"'5 points' ","'POLAR3 Quintile 4' ",390
2013 ,"'5 points' ","'POLAR3 Quintile 5' ",440
2013 ,"'6 points' ","'POLAR3 Quintile 1' ",485
2013 ,"'6 points' ","'POLAR3 Quintile 2' ",675
2013 ,"'6 points' ","'POLAR3 Quintile 3' ",785
2013 ,"'6 points' ","'POLAR3 Quintile 4' ",915
2013 ,"'6 points' ","'POLAR3 Quintile 5' ",935
2013 ,"'6 points' ","'Not assigned' ",10
2013 ,"'7 points' ","'POLAR3 Quintile 1' ",805
2013 ,"'7 points' ","'POLAR3 Quintile 2' ",1145
2013 ,"'7 points' ","'POLAR3 Quintile 3' ",1370
2013 ,"'7 points' ","'POLAR3 Quintile 4' ",1525
2013 ,"'7 points' ","'POLAR3 Quintile 5' ",1715
2013 ,"'7 points' ","'Not assigned' ",15
2013 ,"'8 points' ","'POLAR3 Quintile 1' ",1105
2013 ,"'8 points' ","'POLAR3 Quintile 2' ",1600
2013 ,"'8 points' ","'POLAR3 Quintile 3' ",2045
2013 ,"'8 points' ","'POLAR3 Quintile 4' ",2230
2013 ,"'8 points' ","'POLAR3 Quintile 5' ",2525
2013 ,"'8 points' ","'Not assigned' ",10
2013 ,"'9 points' ","'POLAR3 Quintile 1' ",1350
2013 ,"'9 points' ","'POLAR3 Quintile 2' ",2005
2013 ,"'9 points' ","'POLAR3 Quintile 3' ",2735
2013 ,"'9 points' ","'POLAR3 Quintile 4' ",3070
2013 ,"'9 points' ","'POLAR3 Quintile 5' ",3560
2013 ,"'9 points' ","'Not assigned' ",15
2013 ,"'10 points' ","'POLAR3 Quintile 1' ",1510
2013 ,"'10 points' ","'POLAR3 Quintile 2' ",2360
2013 ,"'10 points' ","'POLAR3 Quintile 3' ",3020
2013 ,"'10 points' ","'POLAR3 Quintile 4' ",3855
2013 ,"'10 points' ","'POLAR3 Quintile 5' ",4285
2013 ,"'10 points' ","'Not assigned' ",15
2013 ,"'11 points' ","'POLAR3 Quintile 1' ",1580
2013 ,"'11 points' ","'POLAR3 Quintile 2' ",2375
2013 ,"'11 points' ","'POLAR3 Quintile 3' ",3075
2013 ,"'11 points' ","'POLAR3 Quintile 4' ",4025
2013 ,"'11 points' ","'POLAR3 Quintile 5' ",4990
2013 ,"'11 points' ","'Not assigned' ",15
2013 ,"'12 points' ","'POLAR3 Quintile 1' ",1430
2013 ,"'12 points' ","'POLAR3 Quintile 2' ",2415
2013 ,"'12 points' ","'POLAR3 Quintile 3' ",3240
2013 ,"'12 points' ","'POLAR3 Quintile 4' ",4285
2013 ,"'12 points' ","'POLAR3 Quintile 5' ",5890
2013 ,"'12 points' ","'Not assigned' ",30
2013 ,"'13 points' ","'POLAR3 Quintile 1' ",1205
2013 ,"'13 points' ","'POLAR3 Quintile 2' ",2080
2013 ,"'13 points' ","'POLAR3 Quintile 3' ",2945
2013 ,"'13 points' ","'POLAR3 Quintile 4' ",4225
2013 ,"'13 points' ","'POLAR3 Quintile 5' ",6080
2013 ,"'13 points' ","'Not assigned' ",15
2013 ,"'14 points' ","'POLAR3 Quintile 1' ",985
2013 ,"'14 points' ","'POLAR3 Quintile 2' ",1700
2013 ,"'14 points' ","'POLAR3 Quintile 3' ",2455
2013 ,"'14 points' ","'POLAR3 Quintile 4' ",3765
2013 ,"'14 points' ","'POLAR3 Quintile 5' ",5860
2013 ,"'14 points' ","'Not assigned' ",20
2013 ,"'15 points' ","'POLAR3 Quintile 1' ",700
2013 ,"'15 points' ","'POLAR3 Quintile 2' ",1540
2013 ,"'15 points' ","'POLAR3 Quintile 3' ",2190
2013 ,"'15 points' ","'POLAR3 Quintile 4' ",3545
2013 ,"'15 points' ","'POLAR3 Quintile 5' ",6115
2013 ,"'15 points' ","'Not assigned' ",20
2013 ,"'16 points' ","'POLAR3 Quintile 1' ",525
2013 ,"'16 points' ","'POLAR3 Quintile 2' ",975
2013 ,"'16 points' ","'POLAR3 Quintile 3' ",1570
2013 ,"'16 points' ","'POLAR3 Quintile 4' ",2525
2013 ,"'16 points' ","'POLAR3 Quintile 5' ",4755
2013 ,"'16 points' ","'Not assigned' ",15
2013 ,"'17 points' ","'POLAR3 Quintile 1' ",250
2013 ,"'17 points' ","'POLAR3 Quintile 2' ",555
2013 ,"'17 points' ","'POLAR3 Quintile 3' ",895
2013 ,"'17 points' ","'POLAR3 Quintile 4' ",1420
2013 ,"'17 points' ","'POLAR3 Quintile 5' ",2940
2013 ,"'17 points' ","'Not assigned' ",5
2013 ,"'18 points' ","'POLAR3 Quintile 1' ",160
2013 ,"'18 points' ","'POLAR3 Quintile 2' ",380
2013 ,"'18 points' ","'POLAR3 Quintile 3' ",695
2013 ,"'18 points' ","'POLAR3 Quintile 4' ",1135
2013 ,"'18 points' ","'POLAR3 Quintile 5' ",2500
2013 ,"'18 points' ","'Not assigned' ",10
2014 ,"'3 points' ","'POLAR3 Quintile 1' ",25
2014 ,"'3 points' ","'POLAR3 Quintile 2' ",20
2014 ,"'3 points' ","'POLAR3 Quintile 3' ",35
2014 ,"'3 points' ","'POLAR3 Quintile 4' ",35
2014 ,"'3 points' ","'POLAR3 Quintile 5' ",35
2014 ,"'4 points' ","'POLAR3 Quintile 1' ",100
2014 ,"'4 points' ","'POLAR3 Quintile 2' ",115
2014 ,"'4 points' ","'POLAR3 Quintile 3' ",145
2014 ,"'4 points' ","'POLAR3 Quintile 4' ",155
2014 ,"'4 points' ","'POLAR3 Quintile 5' ",185
2014 ,"'5 points' ","'POLAR3 Quintile 1' ",250
2014 ,"'5 points' ","'POLAR3 Quintile 2' ",315
2014 ,"'5 points' ","'POLAR3 Quintile 3' ",405
2014 ,"'5 points' ","'POLAR3 Quintile 4' ",420
2014 ,"'5 points' ","'POLAR3 Quintile 5' ",500
2014 ,"'6 points' ","'POLAR3 Quintile 1' ",530
2014 ,"'6 points' ","'POLAR3 Quintile 2' ",690
2014 ,"'6 points' ","'POLAR3 Quintile 3' ",870
2014 ,"'6 points' ","'POLAR3 Quintile 4' ",930
2014 ,"'6 points' ","'POLAR3 Quintile 5' ",1080
2014 ,"'6 points' ","'Not assigned' ",10
